stop_id;function_code;uic_code;location_name;location_short_name;latitude;longitude;valid_from;valid_to;default_transfer_time;country;timezone_1;timezone_2;reservation_code
322;M;007602327;Reimegrend stasjon;;60.678237;6.730762;;;;00;;;
324;M;007600725;Lillehammer stasjon;;61.114912;10.461479;;;;00;;;
325;M;007602219;Vigrestad stasjon;;58.570454;5.687402;;;;00;;;
327;M;007600739;Vinstra stasjon;;61.595462;9.747040;;;;00;;;
328;M;007611419;Lier stasjon;;59.763458;10.290438;;;;00;;;
330;M;007600922;Atna stasjon;;61.732338;10.835149;;;;00;;;
332;M;007601612;Vikersund stasjon;;59.969187;9.998328;;;;00;;;
333;M;007600502;Ljan stasjon;;59.852688;10.784618;;;;00;;;
335;M;007602180;Audnedal stasjon;;58.318928;7.367484;;;;00;;;
337;M;007602124;Vennesla stasjon;;58.253047;7.967451;;;;00;;;
339;M;007632325;Ljosanbotn stasjon;;60.708674;6.901410;;;;00;;;
340;M;007601357;Drevvatn stasjon;;66.071305;13.455527;;;;00;;;
342;M;007602330;Voss stasjon;;60.628982;6.410174;;;;00;;;
344;M;007610308;Auli stasjon;;60.039008;11.351679;;;;00;;;
345;M;007612325;Vieren stasjon;;60.709247;6.979523;;;;00;;;
346;M;007601015;Langlete stasjon;;62.960701;10.979059;;;;00;;;
347;M;007600927;Auma stasjon;;62.220604;10.658546;;;;00;;;
349;M;007602358;Vatnahalsen stasjon;;60.743804;7.129843;;;;00;;;
350;M;007612358;Reinunga stasjon;;60.743883;7.139198;;;;00;;;
351;M;007600207;Lillestrøm stasjon;;59.953221;11.044676;;;;00;;;
353;M;007405094;Välsviken station;;59.391185;13.582406;;;;00;;;
355;M;007611307;Bergsgrav stasjon;;63.771146;11.471118;;;;00;;;
357;M;007601299;Trondheim lufthavn stasjon;;63.453902;10.913902;;;;00;;;
359;M;007602359;Berekvam stasjon;;60.788268;7.095725;;;;00;;;
361;M;007600613;Roa stasjon;;60.283653;10.620679;;;;00;;;
363;M;007601361;Bjerka stasjon;;66.149839;13.831420;;;;00;;;
365;M;007601116;Lundamo stasjon;;63.151920;10.280175;;;;00;;;
366;M;007602329;Ygre stasjon;;60.645358;6.507339;;;;00;;;
367;M;007612360;Lunden stasjon;;60.850755;7.113838;;;;00;;;
369;M;007600805;Bjorli stasjon;;62.258539;8.201511;;;;00;;;
371;M;007622325;Ørneberget stasjon;;60.703770;6.940806;;;;00;;;
372;M;007601127;Lerkendal stasjon;;63.413874;10.409237;;;;00;;;
373;M;007602141;Blakstad stasjon;;58.507433;8.648684;;;;00;;;
375;M;007622327;Øyeflaten stasjon;;60.680181;6.627489;;;;00;;;
376;M;007600208;Leirsund stasjon;;59.999812;11.086820;;;;00;;;
378;M;007600617;Bleiken stasjon;;60.468456;10.500414;;;;00;;;
380;M;007622224;Øksnavadporten stasjon;;58.786538;5.701518;;;;00;;;
382;M;007601337;Lassemoen stasjon;;64.696259;12.714856;;;;00;;;
384;M;007642358;Blomheller stasjon;;60.771691;7.101845;;;;00;;;
386;M;007404942;Östersund Centralstation;;63.170520;14.637600;;;;00;;;
388;M;007600307;Blaker stasjon;;60.004954;11.301549;;;;00;;;
390;M;007600803;Lesjaverk stasjon;;62.192475;8.538182;;;;00;;;
392;M;007601382;Rognan stasjon;;67.093455;15.398428;;;;00;;;
394;M;007404938;Östersund västra station;;63.178738;14.631179;;;;00;;;
396;M;007601407;Blommenholm stasjon;;59.897268;10.555106;;;;00;;;
398;M;007600614;Lunner stasjon;;60.304997;10.584514;;;;00;;;
400;M;007404994;Öxnered station;;58.359175;12.274513;;;;00;;;
402;M;007600925;Bellingmo stasjon;;62.030096;10.785180;;;;00;;;
403;M;007602005;Lunde stasjon;;59.298952;9.101231;;;;00;;;
405;M;007600607;Åneby stasjon;;60.085571;10.862570;;;;00;;;
407;M;007601519;Larvik stasjon;;59.050157;10.031658;;;;00;;;
409;M;007601388;Bodø stasjon;;67.286357;14.390762;;;;00;;;
411;M;007602317;Ål stasjon;;60.626383;8.562126;;;;00;;;
413;M;007600309;Haga stasjon;;60.053929;11.373540;;;;00;;;
415;M;007600310;Bodung stasjon;;60.085114;11.419889;;;;00;;;
417;M;007600513;Kambo stasjon;;59.477811;10.692471;;;;00;;;
419;M;007601012;Ålen stasjon;;62.846365;11.315089;;;;00;;;
421;M;007602334;Bolstadøyri stasjon;;60.637937;5.957664;;;;00;;;
422;M;007601631;Kongsberg stasjon;;59.672219;9.650913;;;;00;;;
424;M;007600810;Åndalsnes stasjon;;62.567408;7.690620;;;;00;;;
426;M;007611413;Bondivann stasjon;;59.820312;10.433060;;;;00;;;
428;M;007401982;Kil station;;59.504651;13.316250;;;;00;;;
430;M;007404729;Ånn station;;63.321300;12.539000;;;;00;;;
432;M;007600200;Bryn stasjon;;59.908360;10.818610;;;;00;;;
434;M;007601006;Røros stasjon;;62.574745;11.379087;;;;00;;;
435;M;007600603;Kjelsås stasjon;;59.966081;10.783277;;;;00;;;
437;M;007404734;Åre station;;63.398868;13.076407;;;;00;;;
439;M;007622358;Kjosfossen stasjon;;60.746953;7.135649;;;;00;;;
440;M;007601419;Brakerøya stasjon;;59.743791;10.232988;;;;00;;;
442;M;007621306;Røstad stasjon;;63.752986;11.319091;;;;00;;;
444;M;007600311;Årnes stasjon;;60.123721;11.464874;;;;00;;;
446;M;007600716;Brumunddal stasjon;;60.880581;10.937622;;;;00;;;
448;M;007602224;Klepp stasjon;;58.771723;5.677767;;;;00;;;
450;M;007600510;Ås stasjon;;59.663277;10.794565;;;;00;;;
452;M;007602351;Bergen stasjon;;60.390332;5.333283;;;;00;;;
454;M;007612328;Kløve stasjon;;60.663240;6.534993;;;;00;;;
456;M;007600211;Kløfta stasjon;;60.075355;11.139169;;;;00;;;
458;M;007601303;Åsen stasjon;;63.609462;11.052053;;;;00;;;
460;M;007602176;Breland stasjon;;58.199507;7.720393;;;;00;;;
462;M;007404712;Åmotfors station;;59.768861;12.366856;;;;00;;;
464;M;007600531;Knapstad stasjon;;59.626388;11.032366;;;;00;;;
466;M;007602218;Brusand stasjon;;58.540360;5.748897;;;;00;;;
468;M;007402834;Mörsil station;;63.308641;13.657406;;;;00;;;
470;M;007600552;Kornsjø stasjon;;58.941405;11.659230;;;;00;;;
471;M;007402155;Kumla station;;59.127116;15.140718;;;;00;;;
473;M;007602223;Bryne stasjon;;58.734693;5.649535;;;;00;;;
475;M;007611201;Rotvoll stasjon;;63.436665;10.480700;;;;00;;;
477;M;007404878;Örebro Centralstation;;59.278942;15.211345;;;;00;;;
479;M;007600504;Kolbotn stasjon;;59.810923;10.800822;;;;00;;;
481;M;007601389;Tverlandet stasjon;;67.301265;14.746538;;;;00;;;
483;M;007601410;Billingstad stasjon;;59.874782;10.483057;;;;00;;;
485;M;007403194;Riksgränsen station;;68.426673;18.120886;;;;00;;;
487;M;007400106;Abisko östra station;;68.348898;18.828737;;;;00;;;
488;M;007400240;Kiruna station;;67.868342;20.199446;;;;00;;;
490;M;007404609;Väse station;;59.381447;13.855155;;;;00;;;
506;M;007600920;Koppang stasjon;;61.573113;11.044307;;;;00;;;
508;M;007404880;Örebro södra station;;59.269809;15.202519;;;;00;;;
509;M;007602402;Narvik stasjon;;68.441570;17.441386;;;;00;;;
513;M;007602331;Bulken stasjon;;60.630582;6.284928;;;;00;;;
514;M;007600186;Oteråga stasjon;;67.299388;14.869983;;;;00;;;
515;M;007602183;Storekvina stasjon;;58.379639;6.957863;;;;00;;;
517;M;007602404;Rombak stasjon;;68.403793;17.791092;;;;00;;;
518;M;007602406;Bjørnfjell stasjon;;68.432280;18.071249;;;;00;;;
520;M;007601019;Kotsøy stasjon;;62.976432;10.561233;;;;00;;;
522;M;007602405;Katterat stasjon;;68.397513;17.965833;;;;00;;;
523;M;007401972;Katterjåkk station;;68.419778;18.161446;;;;00;;;
525;M;007400054;Björkliden station;;68.406519;18.685711;;;;00;;;
527;M;007400105;Abisko turiststation;;68.357480;18.782032;;;;00;;;
556;M;007401579;Hudiksvall station;;61.724620;17.108105;;;;00;;;
593;M;007404445;Vassijaure station;;68.429529;18.257754;;;;00;;;
595;M;007403755;Stockholms södra station;;59.313648;18.062084;;;;00;;;
596;M;007404594;Vännäs station;;63.908540;19.750119;;;;00;;;
598;M;007602002;Bø stasjon;;59.409342;9.069206;;;;00;;;
600;M;007601218;Storlien station;;63.316148;12.100410;;;;00;;;
602;M;007600735;Kvitfjell stasjon;;61.472582;10.165948;;;;00;;;
611;M;007601215;Kopperå stasjon;;63.392062;11.848486;;;;00;;;
619;M;007602234;Stavanger stasjon;;58.966492;5.732453;;;;00;;;
621;M;007602139;Bøylestad stasjon;;58.576607;8.705627;;;;00;;;
623;M;007402120;Kristinehamn station;;59.316473;14.108403;;;;00;;;
625;M;007610505;Greverud stasjon;;59.773293;10.806068;;;;00;;;
626;M;007620503;Rosenholm stasjon;;59.823624;10.797858;;;;00;;;
628;M;007601110;Berkåk stasjon;;62.823004;10.014242;;;;00;;;
630;M;007601114;Støren stasjon;;63.051478;10.284855;;;;00;;;
632;M;007402126;Krokom station;;63.326061;14.447821;;;;00;;;
634;M;007601671;Jevnaker stasjon;;60.240026;10.404887;;;;00;;;
636;M;007602144;Bråstad stasjon;;58.462777;8.689566;;;;00;;;
638;M;007602130;Kristiansand stasjon;;58.145601;7.987954;;;;00;;;
645;M;007600608;Hakadal stasjon;;60.117469;10.829414;;;;00;;;
647;M;007601408;Sandvika stasjon;;59.892903;10.525746;;;;00;;;
648;M;007601806;Notodden stasjon;;59.557004;9.257084;;;;00;;;
649;M;007610303;Svingen stasjon;;59.929068;11.177606;;;;00;;;
651;M;007400620;Charlottenberg station;;59.884139;12.298129;;;;00;;;
653;M;007600528;Kråkstad stasjon;;59.683542;10.890613;;;;00;;;
655;M;007611125;Marienborg stasjon;;63.418429;10.382820;;;;00;;;
670;M;007600214;Dal stasjon;;60.248906;11.202560;;;;00;;;
672;M;007401953;Karlstad Centralstation;;59.377987;13.499043;;;;00;;;
674;M;007602216;Sirevåg stasjon;;58.502686;5.807028;;;;00;;;
677;M;007601628;Darbu stasjon;;59.701589;9.800159;;;;00;;;
679;M;007600740;Kvam stasjon;;61.664880;9.701400;;;;00;;;
681;M;007600733;Fåvang stasjon;;61.449037;10.185313;;;;00;;;
683;M;007600537;Eidsberg stasjon;;59.513464;11.303643;;;;00;;;
685;M;007600609;Stryken stasjon;;60.165593;10.720033;;;;00;;;
762;M;007400662;Degerfors station;;59.229012;14.440286;;;;00;;;
764;M;007600318;Kongsvinger stasjon;;60.187457;12.003599;;;;00;;;
787;M;007602335;Dale stasjon;;60.586317;5.815815;;;;00;;;
790;M;007600539;Rakkestad stasjon;;59.427256;11.339387;;;;00;;;
792;M;007600305;Sørumsand stasjon;;59.985878;11.240178;;;;00;;;
803;M;007601103;Kongsvoll stasjon;;62.307050;9.606088;;;;00;;;
842;M;007600747;Dombås stasjon;;62.068703;9.125487;;;;00;;;
844;M;007600706;Tangen stasjon;;60.615952;11.269596;;;;00;;;
846;M;007601409;Slependen stasjon;;59.885628;10.502743;;;;00;;;
848;M;007600746;Dovre stasjon;;61.984729;9.256808;;;;00;;;
850;M;007601510;Tønsberg stasjon;;59.271925;10.409468;;;;00;;;
852;M;007600534;Slitu stasjon;;59.566933;11.261982;;;;00;;;
854;M;007602181;Snartemo stasjon;;58.331738;7.211468;;;;00;;;
856;M;007601126;Trondheim S;;63.436311;10.400577;;;;00;;;
858;M;007601502;Sande stasjon;;59.585272;10.204766;;;;00;;;
860;M;007601002;Tolga stasjon;;62.408675;10.998259;;;;00;;;
862;M;007610604;Snippen stasjon;;60.024010;10.810005;;;;00;;;
863;M;007600530;Tomter stasjon;;59.659882;11.002309;;;;00;;;
865;M;007600915;Steinvik stasjon;;61.251217;11.324332;;;;00;;;
867;M;007600621;Reinsvoll stasjon;;60.678856;10.616717;;;;00;;;
869;M;007601513;Torp stasjon;;59.165590;10.266265;;;;00;;;
871;M;007601321;Snåsa stasjon;;64.245765;12.380184;;;;00;;;
873;M;007602145;Stoa stasjon;;58.465993;8.709398;;;;00;;;
875;M;007602339;Trengereid stasjon;;60.429023;5.624319;;;;00;;;
877;M;007610504;Solbråtan stasjon;;59.800978;10.804343;;;;00;;;
879;M;007404212;Trollhättan Centralstation;;58.287490;12.298653;;;;00;;;
881;M;007610512;Sonsveien stasjon;;59.515138;10.725486;;;;00;;;
883;M;007601348;Trofors stasjon;;65.537951;13.383086;;;;00;;;
