ID;FromStopNumber;ToStopNumber;ASD_or_SER_or_TFF;Reservation_in_equipment;Equipment;Tariff_in_equipment
668;1;2;;;162;
669;1;2;;;162;
670;1;2;;;162;
671;1;2;;;162;
672;1;2;;;162;
673;1;2;;;162;
674;1;2;;;162;
675;1;2;;;162;
676;1;2;;;162;
677;1;2;;;162;
678;1;2;;;162;
679;1;2;;;162;
680;1;2;;;162;
681;1;2;;;162;
682;1;2;;;162;
683;1;2;;;162;
684;1;2;;;162;
685;1;2;;;162;
686;1;2;;;162;
687;1;2;;;162;
688;1;2;;;162;
689;1;2;;;162;
690;1;2;;;162;
691;1;9;;;;
692;1;9;;;;
693;1;9;;;;
694;1;2;;;162;
695;1;2;;;162;
696;1;2;;;162;
697;1;2;;;162;
698;1;2;;;162;
699;1;2;;;162;
700;1;2;;;162;
701;1;2;;;162;
702;1;2;;;162;
703;1;2;;;162;
704;1;2;;;162;
705;1;2;;;162;
706;1;2;;;162;
707;1;2;;;162;
708;1;2;;;162;
709;1;2;;;162;
710;1;2;;;162;
711;1;2;;;162;
712;1;2;;;162;
713;1;2;;;162;
714;1;2;;;162;
715;1;2;;;162;
716;1;2;;;162;
717;1;2;;;162;
718;1;2;;;162;
719;1;2;;;162;
720;1;2;;;162;
721;1;2;;;162;
722;1;2;;;162;
723;1;2;;;162;
724;1;2;;;162;
725;1;2;;;162;
726;1;2;;;162;
727;1;2;;;162;
728;1;2;;;162;
729;1;2;;;162;
730;1;9;;;;
731;1;9;;;;
732;1;9;;;;
733;1;2;;;162;
734;1;2;;;162;
735;1;2;;;162;
736;1;2;;;162;
737;1;2;;;162;
738;1;2;;;162;
739;1;2;;;162;
740;1;2;;;162;
741;1;2;;;162;
742;1;2;;;162;
743;1;2;;;162;
744;1;2;;;162;
745;1;2;;;162;
746;1;2;;;162;
747;1;2;;;162;
748;1;2;;;162;
749;1;2;;;162;
750;1;2;;;162;
751;1;2;;;162;
752;1;2;;;162;
753;1;2;;;162;
754;1;2;;;162;
755;1;2;;;162;
756;1;2;;;162;
757;1;2;;;162;
758;1;2;;;162;
759;1;2;;;162;
760;1;2;;;162;
761;1;2;;;162;
762;1;2;;;162;
763;1;2;;;162;
764;1;2;;;162;
765;1;2;;;162;
766;1;2;;;162;
767;1;2;;;162;
768;1;2;;;162;
769;1;9;;;;
770;1;9;;;;
771;1;9;;;;
772;1;2;;;162;
773;1;2;;;162;
774;1;2;;;162;
775;1;2;;;162;
776;1;2;;;162;
777;1;2;;;162;
778;1;2;;;162;
779;1;2;;;162;
780;1;2;;;162;
781;1;2;;;162;
782;1;2;;;162;
783;1;2;;;162;
784;1;2;;;162;
785;1;2;;;162;
786;1;2;;;162;
787;1;2;;;162;
788;1;2;;;162;
789;1;2;;;162;
790;1;2;;;162;
791;1;2;;;162;
792;1;2;;;162;
793;1;2;;;162;
794;1;2;;;162;
795;1;2;;;162;
796;1;2;;;162;
797;1;2;;;162;
